Key,Chinese,English,Category,Notes
app_title,ViaBind: ITCsimfit,ViaBind: ITCsimfit,Title,
app_subtitle,ViaBind: ITCsimfit（特别适用大环主客体）,ViaBind: ITCsimfit (for Macrocyclic Host-Guest Systems),Title,
lang_switch,语言切换,Language,Button,
lang_zh,中文,Chinese,Button,
lang_en,English,English,Button,
section_path_build,路径构建,Paths,Section,
section_path_build_desc,选择路径组合成模型,Select paths to form model,Description,
section_manual_adjust,变量调节 (dH: cal/mol),Variables (dH: cal/mol),Section,
section_manual_adjust_desc,拖动滑条，变化曲线 (dH单位: cal/mol),Drag sliders to change curves (dH unit: cal/mol),Description,
section_exp_data,实验数据与条件,Expt. Data,Section,
section_exp_data_desc,注意：下方条件须与实验数据保持一致,Params below should match expt. conditions,Description,
section_fitting,拟合,Fitting,Section,
section_param_snapshot,参数快照,Params Snapshot,Section,
model_header_model,模型,Model,Table Header,
model_header_param,参数,Params,Table Header,
model_header_stoich,计量,Form,Table Header,
model_header_desc,说明,Notes,Table Header,
model_base,基础必选,Base,Model Description,
model_stepwise,逐步,Stepwise,Model Description,
model_dimer,二聚,Dimer,Model Description,
model_reverse,反向,Reverse,Model Description,
model_oligomer,寡聚(须选D),Oligomer(D ON),Model Description,
model_bending,弯折,Bending,Model Description,
param_base,1. H+G=M (Base),1. H+G=M (Base),Parameter Group,
param_stepwise,2. M+G=D (Stepwise),2. M+G=D (Stepwise),Parameter Group,
param_dimer,3. M+M=T (Dimerization),3. M+M=T (Dimerization),Parameter Group,
param_reverse,4. M+H=B (Reverse),4. M+H=B (Reverse),Parameter Group,
param_oligomer,5. M+D=F (Oligmerization),5. M+D=F (Oligomerization),Parameter Group,
param_bending,"6. M=U (Bending)","6. M=U (Bending)",Parameter Group,
param_correction,浓度校正因子和稀释热基线,Conc.Factors & Baseline,Section,
param_fH,"fH (H, Cell)","fH (H, Cell)",Parameter Label,
param_fG,"fG (G, Syr.)","fG (G, Syr.)",Parameter Label,
param_V_init,"首滴V_init (uL)","#1 V_init (uL)",Parameter Label,
